# fields=9 strings=0,1,3
"Alterac","Durotar",148,"Darkshore",1161288362,3311502677,1174549845,1165486762,4294967295
"lterac","Durotar",331,"Ashenvale",1154777087,3313380010,1167198037,1146047146,4294967295
"ands","Durotar",400,"ThousandNeedles",3285756586,3315010218,3312970410,3319242751,4294967295
"risfal","Durotar",406,"StonetalonMountains",1162534229,3301748735,1161185962,3282684586,4294967295
"sternPlaguelands","Durotar",405,"Desolace",1166297770,3280158720,1138887338,3307150677,4294967295
"ternPlaguelands","Durotar",357,"Feralas",1168772437,3300690602,3306416810,3319447551,4294967295
"brad","Durotar",15,"Dustwallow",3295920127,3317860352,3304991402,3316443818,4294967295
"Morogh","Durotar",440,"Tanaris",3277504511,3319690751,3317143552,3324226560,4294967295
"BurningSteppes","Durotar",16,"Aszhara",3310145877,3322048426,1168567637,1156910421,4294967295
"urningSteppes","Durotar",361,"Felwood",1154299221,3313525418,1172236970,1162756095,4294967295
"n","Durotar",490,"UngoroCrater",1141200213,3309693610,3317331285,3322135893,4294967295
"ge","Durotar",493,"Moonglade",3299649536,3311835477,1174711978,1171865770,4294967295
"mpOfSorrows","Durotar",1377,"Silithus",1159632896,3295442272,3317314220,3321980160,4294967295
"","Durotar",618,"Winterspring",3281933653,3320300885,1174754645,1164804095,4294967295
"","",1519,"Stormwind",1152163606,1108528498,3321977703,3322895570,4294967295
"","Durotar",1637,"Ogrimmar",3311798686,3315521957,1158553097,1151815357,4294967295
"netalonMountains","",1537,"Ironforge",3291637209,3300656877,3314469358,3315549892,4294967295
"lace","Durotar",1638,"ThunderBluff",1140927146,3288581461,3293872127,3300997802,4294967295
"llow","Durotar",1657,"Darnassis",1161274830,1156251890,1176500548,1175777881,4294967295
"low","",1497,"Undercity",1146768468,3266076004,1156234816,1150991083,4294967295
"","dor",2597,"AlteracValley",1155442687,3306783744,1149742421,3302585002,4294967295
"interspring","erBluff",3277,"WarsongGulch",1157576021,1147139413,1154179754,1146593279,4294967295
"ind","y",3358,"ArathiBasin",1156074154,1120676522,1153206954,1135132672,4294967295
"nd","",3430,"EversongWoods",3314301952,3323138560,1177323178,1173516970,0
"d","",3433,"Ghostlands",3315931818,3322289493,1174481578,1170052437,0
"","",3524,"AzuremystIsle",3324252160,3328420693,3308166144,3316392618,1
"Ogrimmar","",3483,"Hellfire",1168972970,1136361472,1152985088,3304411135,4294967295
"grimmar","",0,"Expansion01",1179324456,3314262096,1169550048,3317033696,4294967295
"rimmar","",3521,"Zangarmarsh",1175718912,1166737237,1156705621,3299939669,4294967295
"ar","",3557,"TheExodar",3324832120,3325914253,3311508207,3313947384,1
"","",3520,"ShadowmoonValley",1166280704,3298779136,3304291669,3316610218,4294967295
"ronforge","",3522,"BladesEdgeMountains",1175074645,1163251029,1166656170,1145432746,4294967295
"onforge","",3525,"BloodmystIsle",3323816960,3327157759,3292370261,3308737877,1
"nforge","",3518,"Nagrand",1176559445,1167398570,1109830314,3311639210,4294967295
"forge","",3519,"TerokkarForest",1172134570,1154640554,3296329727,3314532352,4294967295
"orge","",3523,"Netherstorm",1168857770,3266794837,1168802304,1155101354,4294967295
"rge","",3487,"SilvermoonCity",3318220288,3320701355,1176413910,1175587777,0
"ge","",3703,"ShattrathCity",1170192914,1167517714,3300408971,3306327195,4294967295
"e","ods",3820,"NetherstormArena",1160136362,1136839338,1161194496,1152353621,4294967295
"rnassis","",4080,"Sunwell",3315970218,3322336426,1179910911,1177638912,0
