# fields=8 strings=0,1,3
"lace","Durotar",1638,"ThunderBluff",1140927201,3288581407,3293872128,3300997775
"llow","Durotar",1657,"Darnassis",1161274819,1156251894,1176500552,1175777884
"low","",1497,"Undercity",1146768425,3266075689,1156234854,1150991073
"","dor",2597,"AlteracValley",1155442688,3306783744,1149742449,3302584975
"interspring","erBluff",3277,"WarsongGulch",1157576049,1147139359,1154179727,1146593280
"ind","y",3358,"ArathiBasin",1156074127,1120676086,1153206927,1135132672
"nassis","Durotar",876,"GMIsland",1182980096,1182318592,1182865920,1182384128
"assis","Durotar",616,"Hyjal",3297181696,3313889280,1170171904,1165553664
"ssis","",4012,"ScarletEnclave",3313311744,3319875584,1161883648,1148502016
"sis","limdor",5023,"Sunnyglade",1144249876,3280376955,1157240996,1142416998
"is","",409,"Lapidis",1167731364,1157495849,3324808684,3326770606
"s","",408,"Gillijim",1166713283,1151861719,3326329559,3328425697
"Undercity","Durotar",5121,"TelAbim",3315718144,3322107904,3319824384,3323096064
"dercity","",2040,"AlahThalas",3305607168,3311620096,1167677440,1165340672
"ercity","",5179,"Gilneas",1162563584,3285090304,3283320832,3308195840
"rcity","Durotar",5024,"Icepoint",3316570112,3319863296,1180767232,1179666432
"city","Durotar",5536,"BlackstoneIsland",3317960704,3322456064,1145552896,3294134272
"ity","",5225,"ThalassianHighlands",3296411648,3313463296,1167769600,1161080832
"ty","",1581,"DeadminesEntrance",1155540419,1151854920,3324820419,3325127537
"","Durotar",718,"WailingCavernsEntrance",3303906263,3306855014,3287568876,3294207836
"AlteracValley","Durotar",2100,"MaraudonEntrance",1162379264,1159004160,3297312768,3301818368
"lteracValley","",721,"GnomereganEntrance",1149269115,1139030426,3314954895,3315731374
"teracValley","",25,"BlackrockMountain",3292412969,3300397056,3320118927,3321078784
"eracValley","",796,"ScarletMonasteryEntrance",3290758513,3294095278,1161311724,1160758600
"racValley","",1337,"UldamanEntrance",3307975270,3310282588,3317304136,3318074388
"acValley","Durotar",3478,"AhnQirajEntrance",1165347512,3276691866,3321506202,3324714240
"cValley","Durotar",1941,"CavernsOfTime",3311861146,3315441848,3321542840,3322625208
"idis","nEntrance",0,"",0,0,0,0
"dis","nEntrance",5130,"WinterVeilVale",1156546560,1139933184,3306274816,3310276608
"is","aris",0,"",0,0,0,0
"s","aris",2437,"Ragefire",1138913116,3280928440,1109293793,3286399386
"","ndPass",0,"",0,0,0,0
"Gillijim","ndPass",1176,"ZulFarrak",1154162688,1131522949,1157644616,1150100849
"illijim","guelands",0,"",0,0,0,0
"llijim","guelands",1477,"TheTempleOfAtalHakkar",1138581832,3279701279,3279891333,3291717960
"lijim","c",0,"",0,0,0,0
"ijim","c",719,"BlackFathomDeeps",1139979387,3292011889,3268923884,3294926111
"jim","Azeroth",0,"",0,0,0,0
"im","Azeroth",717,"TheStockade",1128124908,3275510907,1130144072,3254502031
"m","lverpine",0,"",0,0,0,0
"","lverpine",721,"Gnomeregan",1140192051,3280659087,3275023319,3291316224
"TelAbim","tedLands",0,"",0,0,0,0
"elAbim","tedLands",1337,"Uldaman",1143031726,3279457485,1129074524,3284384809
"lAbim","",0,"",0,0,0,0
"Abim","",2717,"MoltenCore",3241148416,3300671488,1152638976,1139015680
"bim","re",0,"",0,0,0,0
"im","re",1977,"ZulGurub",3289980928,3307918664,3324994560,3326443090
"m","ade",0,"",0,0,0,0
"","ade",2557,"DireMaul",1147002880,3284254720,1149452288,1128792064
"AlahThalas","odan",0,"",0,0,0,0
"lahThalas","odan",1584,"BlackrockDepths",1146798080,3297427456,1153245184,1131741184
"ahThalas","dercity",0,"",0,0,0,0
"hThalas","dercity",3429,"RuinsofAhnQiraj",1161672376,1141029601,3321931090,3323646290
"Thalas","glethorn",0,"",0,0,0,0
"halas","glethorn",2159,"OnyxiasLair",1121895055,3283737969,1120174080,3277837435
"alas","Modan",0,"",0,0,0,0
"las","Modan",1583,"BlackrockSpire",1093234852,3294302208,1134048051,3280955965
"as","lterac",0,"",0,0,0,0
"s","lterac",718,"WailingCaverns",1145405440,3284008960,1129775104,3289284608
"","ountains",0,"",0,0,0,0
"Gilneas","ountains",2100,"Maraudon",1139979387,3301660099,1150679122,3277005128
"ilneas","mmar",0,"",0,0,0,0
"lneas","mmar",2677,"BlackwingLair",3293783982,3299344794,3320254710,3320936591
"neas","eroth",0,"",0,0,0,0
"eas","eroth",5138,"TheDeadmines",3282139218,3295994348,1108588626,3284600095
"as","uelands",0,"",0,0,0,0
"s","uelands",722,"RazorfenDowns",1151262720,1136852992,1160228864,1157816320
"","ac",0,"",0,0,0,0
"Icepoint","ac",491,"RazorfenKraul",1157672632,1151684362,1158863421,1156076995
"cepoint","teppes",0,"",0,0,0,0
"epoint","teppes",5136,"ScarletMonastery",1153695498,1147993948,1157481923,1154096005
"point","teppes",5135,"ScarletMonastery2f",3273803039,3287366369,1134145372,1119605228
"oint","teppes",5153,"ScarletMonastery3f",1112085627,3289160417,1157309235,1153963131
"int","teppes",5163,"ScarletMonastery4f",1155137454,1149376020,1151347016,1145772769
"nt","s",0,"",0,0,0,0
"t","s",2057,"Scholomance",1132161270,3263776686,1134483866,1120970998
"","",0,"",0,0,0,0
"BlackstoneIsland","",209,"ShadowfangKeep",1159217152,1157656576,3262382080,3281879040
"lackstoneIsland","dNeedles",0,"",0,0,0,0
"ackstoneIsland","dNeedles",2017,"Stratholme",3307535688,3312390881,1166155571,1163059364
"ckstoneIsland","WarsongGulch",0,"",0,0,0,0
"kstoneIsland","WarsongGulch",3428,"AhnQiraj",1159543316,1153450557,3321601638,3322412544
"stoneIsland","WarsongGulch",5147,"AhnQiraj2f",1161181676,1124734075,3320797778,3323239404
"toneIsland","arsongGulch",0,"",0,0,0,0
"oneIsland","arsongGulch",3457,"Karazhan",3301556224,3305783296,3324538880,3324947456
"neIsland","ralas",0,"",0,0,0,0
"eIsland","ralas",2257,"DeeprunTram",1159985152,1158707200,1119813632,3269525504
"Island","ralas",5144,"DeeprunTram2f",1127972864,3270705152,1119813632,3269525504
"sland","ows",0,"",0,0,0,0
"land","ows",5204,"BlackMorass",1172657091,1170052055,3298554266,3305295995
"and","ows",2366,"BlackMorass2f",1173298893,1171075052,3300626186,3305845064
"nd","ntrance",0,"",0,0,0,0
"d","ntrance",5208,"GilneasCity",1162716447,1157563515,3292409364,3301426463
"","rsongGulch",0,"",0,0,0,0
"ThalassianHighlands","rsongGulch",3456,"Naxxramas",3306452050,3314055086,1164217139,1158816891
"halassianHighlands","rsongGulch",5148,"Naxxramas2f",3315084001,3316419502,1164871926,1163071037
"alassianHighlands","ance",0,"",0,0,0,0
"lassianHighlands","ance",5077,"CrescentGrove",1150744330,3300093870,1146928824,3294169989
"assianHighlands","ldamanEntrance",0,"",0,0,0,0
"ssianHighlands","ldamanEntrance",5103,"HateforgeQuarry",3309110600,3312191283,3321266749,3322100337
"sianHighlands","trance",0,"",0,0,0,0
"ianHighlands","trance",5086,"KarazhanCrypt",3299004498,3303483474,3324678318,3325079695
"anHighlands","zeroth",0,"",0,0,0,0
"nHighlands","zeroth",5087,"StormwindVault",1134373765,3256918999,1119000986,3272700068
"Highlands","UldamanEntrance",0,"",0,0,0,0
"ighlands","UldamanEntrance",5097,"EmeraldSanctum",1165373850,1160159232,1163656069,1160159232
"ghlands","rance",0,"",0,0,0,0
"hlands","rance",5053,"Moomoo",1183260826,1182696059,1183190282,1182846326
"lands","Entrance",0,"",0,0,0,0
"ands","Entrance",3457,"UpperKarazhan",3299622912,3305738240,3324648448,3325210624
"nds","Entrance",5557,"UpperKarazhan2f",3300483072,3313883136,3316989952,3320815616
"ds","",5602,"GrimReaches",3305209856,3320387584,3308617728,3318398976
"s","",5561,"Balor",1167310848,1154203648,3320629248,3323376640
"","",5581,"Northwind",1158488064,3296051200,3318069248,3322187776
"adminesEntrance","Durotar",2557,"DireMaulEntrance",1157349376,1143767040,3310653440,3313856512
"dminesEntrance","trance",0,"",0,0,0,0
"minesEntrance","trance",5601,"DragonmawRetreat",3310764032,3315478528,3316578304,3318775808
"inesEntrance","ance",0,"",0,0,0,0
"nesEntrance","ance",5628,"StormwroughtRuins",3310505984,3316058112,3316219904,3318984704
